timestamp,action,ticker,qty,price,commission,reason,pnl,cash_after
2026-09-10T13:46:37,SELL,AKBNK.IS,250,72.9,27.34,manuel tasfiye - yeni gun ici sisteme gecis,235.16,55408.66
2026-09-10T13:46:45,SELL,GARAN.IS,112,135.1,22.7,manuel tasfiye - yeni gun ici sisteme gecis,391.7,70517.17
2026-09-10T13:46:53,SELL,ENJSA.IS,106,116.6,18.54,manuel tasfiye - yeni gun ici sisteme gecis,288.86,82858.23
2026-09-10T13:47:01,SELL,SAHOL.IS,107,95.5,15.33,manuel tasfiye - yeni gun ici sisteme gecis,294.97,93061.4
2026-09-10T13:47:11,SELL,YKBNK.IS,227,36.56,12.45,manuel tasfiye - yeni gun ici sisteme gecis,137.37,101348.07
2026-09-10T13:48:25,BUY,AKBNK.IS,198,73.0,21.68,AL sinyali (skor 0.45),,86872.39
2026-09-10T13:48:25,BUY,GUBRF.IS,28,512.5,21.53,AL sinyali (skor 0.40),,72500.87
2026-09-10T13:48:25,BUY,TAVHL.IS,52,274.75,21.43,AL sinyali (skor 0.38),,58192.44
2026-09-10T13:44:44,BUY,CVX,1,10378.5356,15.57,AL sinyali (skor 0.49),,47798.33
2026-09-10T14:14:05,BUY,NVDA,1,10577.1236,15.87,AL sinyali (skor 0.36),,37205.34
2026-09-15T08:15:14,SELL,GUBRF.IS,28,470.25,19.75,stop-loss (-8.2%),-1224.28,50352.59
2026-09-15T08:15:14,BUY,TUPRS.IS,34,409.0,20.86,AL sinyali (skor 0.59),,36425.73
2026-09-16T07:31:30,SELL,TAVHL.IS,52,254.5,19.85,stop-loss (-7.4%),-1094.28,49639.88
2026-09-16T07:31:30,BUY,BIMAS.IS,33,416.5,20.62,AL sinyali (skor 0.46),,35874.77
2026-09-16T07:53:37,SELL,AKBNK.IS,198,66.95,19.88,stop-loss (-8.3%),-1239.47,49110.98
2026-09-16T07:53:37,BUY,ASELS.IS,18,369.75,9.98,AL sinyali (skor 0.54),,42445.5
